categoria,archivo_imagen,descripcion,ficha_tecnica,codigo,imagen_nombre
Toyota,KIT_6_BULONES_CON_TUERCA_MAZA_TRASERA_AUTOELEVADOR_TOYOTA_SERIE_7_8_Z_2TN-3TN.webp,KIT 6 BULONES CON TUERCA MAZA TRASERA AUTOELEVADOR TOYOTA SERIE 7/8/Z 2TN-3TN,"Bulon y Tuerca de MAza Trasera Autoelevador TOYOTA.
Para equipos de 2.0TN a 3.0TN
CODIGO 4301-44C
CODIGO 43812-23320-71 BULON / 90179-14001-71TUERCA
LARGO BULON 50MM ROSCA 14MMX 1.5MM
ESTRIADO CUELLO 16MM
APLICACION
SERIE 8 NAFTA 4Y 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",4301-44C,KIT_6_BULONES_CON_TUERCA_MAZA_TRASERA_AUTOELEVADOR_TOYOTA_SERIE_7_8_Z_2TN_3TN.webp
Toyota,KIT_PERNO_PUNTA_EJE_AUTOELEVADOR_TOYOTA_SERIES_7___8___Z_-_1.5TN_3TN_-_comprar_online.webp,KIT PERNO PUNTA EJE AUTOELEVADOR TOYOTA SERIES 7 / 8 / Z - 1.5TN/3TN,"Kit reparación punta eje Autoelevadores TOYOTA (un solo lado)
INCLUYE
1* Perno Punta Eje 28mm diametro
1* Crapodina 28mm diametro interior 2* Torrington 28mm diametro interior 2* Retenes APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",,KIT_PERNO_PUNTA_EJE_AUTOELEVADOR_TOYOTA_SERIES_7_8_Z_1.5TN_3TN.webp
Toyota,KIT_2_ESPEJOS_AUTOELEVADOR_TOYOTA___UNIVERSAL_200MMX118MM_-_comprar_online.webp,KIT 2 ESPEJOS AUTOELEVADOR TOYOTA / UNIVERSAL 200MMX118MM,"KIT 2 ESPEJOS AUTOELEVADOR TOYOTA / UNIVERSAL 200MMX118MM
CODIGO 58720-23320-71
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",58720-23320-71,KIT_2_ESPEJOS_AUTOELEVADOR_TOYOTA_UNIVERSAL_200MMX118MM.webp
Toyota,DISTRIBUIDOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y_-_comprar_online.webp,DISTRIBUIDOR AUTOELEVADOR TOYOTA MOTOR 4Y,"Distribuidor electronico para autoelevador TOYOTA.
Motor 4Y
Incluye juego de cables.
Distribuidor listo para colocar.
CODIGO 19030-UB010 / 19030-78154-71
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",19030-UB010,DISTRIBUIDOR_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,ROTOR_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4Y_-_comprar_online.webp,ROTOR DISTRIBUIDOR AUTOELEVADOR MOTOR TOYOTA 4Y,"ROTOR DISTRIBUIDOR AUTOELEVADOR MOTOR TOYOTA 4Y
CODIGO 19102-76009-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",19102-76009-71,ROTOR_DISTRIBUIDOR_AUTOELEVADOR_MOTOR_TOYOTA_4Y.webp
Toyota,KIT_CABLES_BUJIA_AUTOELEVADOR_MOTOR_TOYOTA_4Y_5K_SERIES_6_A_8.webp,KIT CABLES BUJIA AUTOELEVADOR MOTOR TOYOTA 4Y 5K SERIES 6 A 8,"KIT CABLES BUJIA AUTOELEVADOR MOTOR TOYOTA 4Y 5K SERIES 6 A 8
CODIGO 80919-76106-71
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",80919-76106-71,KIT_CABLES_BUJIA_AUTOELEVADOR_MOTOR_TOYOTA_4Y_5K_SERIES_6_A_8.webp
Toyota,KIT_REPARACION_EQUIPO_GLP_AUTOELEVADOR_TOYOTA_SERIE_7.webp,KIT REPARACION EQUIPO GLP AUTOELEVADOR TOYOTA SERIE 7,"KIT REPARACION EQUIPO GLP AUTOELEVADOR TOYOTA SERIE 7
CODIGO 04221-20400-71
CODIGO 2314-01K",04221-20400-71,KIT_REPARACION_EQUIPO_GLP_AUTOELEVADOR_TOYOTA_SERIE_7.webp
Toyota,PIPA_SALIDA_TERMOSTATO_AUTOELEVADOR_TOYOTA_NAFTA_MOTOR_4Y.webp,PIPA SALIDA TERMOSTATO AUTOELEVADOR TOYOTA NAFTA MOTOR 4Y,"PIPA SALIDA TERMOSTATO AUTOELEVADOR TOYOTA NAFTA MOTOR 4Y
CODIGO 16321-78150-71 / 16321-UB010
CODIGO 1603-61
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",16321-78150-71,PIPA_SALIDA_TERMOSTATO_AUTOELEVADOR_TOYOTA_NAFTA_MOTOR_4Y.webp
Toyota,KIT_ZAPATAS_PATINES_X2_AUTOELEVADOR_TOYOTA_2.5TN.webp,KIT ZAPATAS PATINES X2 AUTOELEVADOR TOYOTA 2.5TN,"KIT ZAPATAS PATINES X2 AUTOELEVADOR TOYOTA 2.5TN
CODIGO 47405-23600-71",47405-23600-71,KIT_ZAPATAS_PATINES_X2_AUTOELEVADOR_TOYOTA_2.5TN.webp
Toyota,CABLE_FRENO_MANO_DERECHO_AUTOELEVADOR_TOYOTA_SERIE_8_2.5TN.webp,CABLE FRENO MANO DERECHO AUTOELEVADOR TOYOTA SERIE 8 2.5TN,"CABLE FRENO MANO DERECHO AUTOELEVADOR TOYOTA SERIE 8 2.5TN
CODIGO 47401-26601-71
CODIGO 4601-24
APLICACION 32-8FG25
62-8FD25
FDZN25
FGZN25",47401-26601-71,CABLE_FRENO_MANO_DERECHO_AUTOELEVADOR_TOYOTA_SERIE_8_2.5TN.webp
Toyota,KIT_DE_4_CAPUCHONES_DE_BUJIAS_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp,KIT DE 4 CAPUCHONES DE BUJIAS AUTOELEVADOR TOYOTA MOTOR 4Y,"CAPUCHONES DE BUJIAS X4 AUTOELEVADOR TOYOTA MOTOR 4Y
CODIGO 11191-76001-71
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",11191-76001-71,KIT_DE_4_CAPUCHONES_DE_BUJIAS_AUTOELEVADOR_TOYOTA_MOTOR_4Y.webp
Toyota,KIT_SELLOS_REPARACION_CAJA_DE_VALVULAS_AUTOELEVADOR_TOYOTA_SERIE_8.webp,KIT SELLOS REPARACION CAJA DE VALVULAS AUTOELEVADOR TOYOTA SERIE 8,"KIT SELLOS REPARACION CAJA DE VALVULAS AUTOELEVADOR TOYOTA
CODIGO 04676-21111-71
CODIGO 6705-01K
Toy. 8FD10-30,8FGU10-32",04676-21111-71,KIT_SELLOS_REPARACION_CAJA_DE_VALVULAS_AUTOELEVADOR_TOYOTA_SERIE_8.webp
Toyota,RETEN_SALIDA_BRIDA_TRANSMSION_AUTOELEVADOR_TOYOTA_SERIE_8.webp,RETEN SALIDA BRIDA TRANSMSION AUTOELEVADOR TOYOTA SERIE 8,"RETEN SALIDA BRIDA TRANSMSION AUTOELEVADOR TOYOTA SERIE 8
Diametro Exterior 60mm
Diametro Interior 44mm
Altura 14mm
CODIGO 32593-26610-71
CODIGO 3204-75B
Toy. 8FD10-30,8FG10-30,8FDJ35,8FGJ35,8FDK20-30,8FGK20-30,8FDU15-32,8FGU15-32,8FDF15-30,8FGF15-30,8FDFJ35,8FGFJ35,8FDN15-30,8FGN15-30",32593-26610-71,RETEN_SALIDA_BRIDA_TRANSMSION_AUTOELEVADOR_TOYOTA_SERIE_8.webp
Toyota,KIT_SELLOS_CILINDRO_INCLINACION_AUTOELEVADOR_TOYOTA_SERIE_7.webp,KIT SELLOS CILINDRO INCLINACION AUTOELEVADOR TOYOTA SERIE 7,"KIT SELLOS CILINDRO INCLINACION AUTOELEVADOR TOYOTA SERIE 7
CODIGO 04655-20093-71
CODIGO 6511-01K
DIAMETRO VASTAGO 30MM
DIAMETRO CAMISA 70MM
APLICACION
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25",04655-20093-71,KIT_SELLOS_CILINDRO_INCLINACION_AUTOELEVADOR_TOYOTA_SERIE_7.webp
Toyota,KIT_SELLOS_CILINDRO_DESPLAZADOR_LATERAL_AUTOELEVADOR_TOYOTA_SERIE_8.webp,KIT SELLOS CILINDRO DESPLAZADOR LATERAL AUTOELEVADOR TOYOTA SERIE 8,"KIT SELLOS CILINDRO DESPLAZADOR LATERAL AUTOELEVADOR TOYOTA
CODIGO 04751-20480-71
CODIGO 7501-01K
Diametro Vastago 20mm
Toy. 7FB10-30,7-8FD10-30,7-8FDN15-30,7FBH10-25,7FBE10-25,7FBR10-25,FDZN20-30(E62)
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",04751-20480-71,KIT_SELLOS_CILINDRO_DESPLAZADOR_LATERAL_AUTOELEVADOR_TOYOTA_SERIE_8.webp
Toyota,KIT_REPARACION_BOMBA_HIDRAULICA_AUTOELEVADOR_TOYOTA_SERIE_7.webp,KIT REPARACION BOMBA HIDRAULICA AUTOELEVADOR TOYOTA SERIE 7,"KIT REPARACION BOMBA HIDRAULICA AUTOELEVADOR TOYOTA SERIE 7.
Diametro Exterior Reten 31.7mm
Diametro Interior Reten 19mm
CODIGO 04671-20830-71
Toyota. 7FD10-30,7FDN15-30",04671-20830-71,KIT_REPARACION_BOMBA_HIDRAULICA_AUTOELEVADOR_TOYOTA_SERIE_7.webp
Toyota,RETEN_BANCADA_TRASERA_AUTOELEVADOR_TOYOTOA_MOTOR_1DZ_-_comprar_online.webp,RETEN BANCADA TRASERA AUTOELEVADOR TOYOTOA MOTOR 1DZ,"RETEN BANCADA TRASERA AUTOELEVADOR TOYOTOA MOTOR 1DZ CODIGO 90311-95951-71 / 9001A-31008
CODIGO 1106-46A
DIAMETRO INTEIOR DIAMETRO EXTERIOR ALTURA
95MM 115MM 8.50MM
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30",90311-95951-71,RETEN_BANCADA_TRASERA_AUTOELEVADOR_TOYOTOA_MOTOR_1DZ.webp
Toyota,SOLENOIDE_CORTE_COMBUSTIBLE_AUTOELEVADOR_TOYOTA_MOTOR_1DZ.webp,SOLENOIDE CORTE COMBUSTIBLE AUTOELEVADOR TOYOTA MOTOR 1DZ,"SOLENOIDE CORTE COMBUSTIBLE AUTOELEVADOR TOYOTA
MOTOR 1DZ CODIGO 22390-76004-71
CODIGO 2203-CF
APLICA
FDZN20
FDZN25
FDZN30
62-8FD18
62-8FD20
62-8FD25
02-7FD25
62-7FD25",22390-76004-71,SOLENOIDE_CORTE_COMBUSTIBLE_AUTOELEVADOR_TOYOTA_MOTOR_1DZ.webp
Toyota,KIT_DE_VALVULAS_GLP_AUTOELEVADOR_TOYOTA_SERIE_8__Z_-_comprar_online.webp,KIT DE VALVULAS GLP AUTOELEVADOR TOYOTA SERIE 8 /Z,"Kit reparacion equipo GLP marca AISIN. CODIGO 2314-30M
CODIGO 04221-20480-71
Este modelo de se usan en Autoelevadores TOYOTA SERIE 8 / SERIE Z NAFTEROS MOTOR 4Y",2314-30M,KIT_DE_VALVULAS_GLP_AUTOELEVADOR_TOYOTA_SERIE_8_Z.webp
Toyota,ROLETE_RODAMIENTO_DE_TORRE_AUTOELEVADOR_TOYOTA_25X79.5X23.5_-_comprar_online.webp,ROLETE RODAMIENTO DE TORRE AUTOELEVADOR TOYOTA 25X79.5X23.5,"Rolete Torre AUTOELEVADOR TOYOTA
CODIGO 61236-10890-71
CODIGO 63374-N3070-71
DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
25MM 79.5MM 23.5MM
Toyota.
3-8FD10-25
4-7FB10-25
8FBN15-25
FDZN20-25
3-8FD30
4-7FB30
8FBN30
FDZN30 VM
0.44KG",61236-10890-71,ROLETE_RODAMIENTO_DE_TORRE_AUTOELEVADOR_TOYOTA_25X79.5X23.5.webp
Toyota,CARDAN_TRANSMISION_AUTOELEVADOR_TOYOTA_SERIE_7_-_comprar_online.webp,CARDAN TRANSMISION AUTOELEVADOR TOYOTA SERIE 7,"CARDAN TRANSMISION AUTOELEVADOR TOYOTA SERIE 7
CODIGO 37210-23600-71
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25",37210-23600-71,CARDAN_TRANSMISION_AUTOELEVADOR_TOYOTA_SERIE_7.webp
Toyota,KIT_REPARACION_PERNO_PUNTA_EJE_AUTOELEVADOR_TOYOTA_SERIE_7___8___Z_-_comprar_online.webp,KIT REPARACION PERNO PUNTA EJE AUTOELEVADOR TOYOTA SERIE 7 / 8 / Z,"KIT REPARACION PERNO PUNTA EJE AUTOELEVADOR TOYOTA SERIE 7 / 8 / Z
INCLUYE ITEMS QUE SE VEN EN LA FOTO
CODIGO 04432-10120-71
APLICACION
SERIE 8 NAFTA 4Y 32-8FG15, 32-8FG18, 32-8FG20, 32-8FG25, 32-8FG30
SERIE 8 DIESEL 1DZ 62-8FD15, 62-8FD18, 62-8FD20, 62-8DF25, 62-8DF30
SERIE 8 NAFTA 4Y 8FGU20, 8FGU25, 8FGU30
SERIE 8 DIESEL 1DZ 8FDU20, 8FDU25, 8FDU30
SERIE 7 NAFTA 4Y 42-7FG20, 42-7FG25
SERIE 7 NAFTA 4Y 02-7FG20, 02-7FG25
SERIE 7 DIESEL 1DZ 62-7FD20, 62-7FD25
SERIE 7 DIESEL 1DZ 02-7FD20, 02-7FD25
SERIE Z DIESEL 1DZ FDZN20, FDZN25, FDZN30
SERIE Z NAFTA 4Y FGZN20, FGZN25, FGZN30",04432-10120-71,KIT_REPARACION_PERNO_PUNTA_EJE_AUTOELEVADOR_TOYOTA_SERIE_7_8_Z.webp
Toyota,POLEA_CADENA_TORRE_AUTOELEVADOR_TOYOTA_35X92X36MM_-_comprar_online.webp,POLEA CADENA TORRE AUTOELEVADOR TOYOTA 35X92X36MM,"POLEA CADENA TORRE AUTOELEVADOR TOYOTA 35X92X36MM
CODIGO 63131-23600-71
DIAMETRO INTERIOR DIAMETRO EXTERIOR ALTURA
35M 92MM 36MM
Toy. 6FD20-25(V 9703-9808)
7-8FD20-25(V)
7-8FD20-25(FSV,FV/8F 0608-0908)
7FB15-25(FV/FSV)/7FB20-25(V)",63131-23600-71,POLEA_CADENA_TORRE_AUTOELEVADOR_TOYOTA_35X92X36MM.webp
